"Early rising is good for the health.
","일찍 일어나는 것은 건강에 유익하다.
"
"I suggest that you tear up the letter and start over again.
","나는 네가 이 편지를 찢어버리고 처음부터 다시 쓸 것을 제의한다.
"
"This day will go down in history.
","이 날은 역사책에 기록될 것이다.
"
"The loading period we fixed is from September to October,1989.
","우리가 정한 선적 기한은 1989년 9,10월 두 달입니다.
"
"The gloves are returned; though having been broken at seams,they appear to have been torn open by some unusual force.
","장갑의 솔기부분이 찢어졌는데, 마치 매우 큰 외부의 힘에 의해서 찢어진 것 같으니 무르는 것이 좋겠다.
"
"He is a man to fall back on in case of emergency.
","그는 긴박한 때에 그것을 구조해줄 수 있는 사람이다.
"
"The students noted down every word the professor said.
","학생들은 선생님이 하신 말씀을 모두 기록했다.
"
"He made up the books into a parcel and sent it to his friend by mail.
","그는 책포장을 하나 해서 그의 친구에게 우편으로 부쳤다.
"
"She ate up the chance to go to Yan'an.
","그녀는 이번 연안에 가는 기회를 매우 중요하게 보았다.
"
"This dress is hooked at the back.
","이 옷의 후크는 뒤에서 채운다.
"
"John wants to play chess.
","존은 바둑을 두려고 한다.
"
"lunge at the door
","문을 향해 돌진해 가다.
"
"I'd like to see her.
","나는 그녀를 만나고 싶다.
"
"Compliance with the law is expected.
","누구나 법을 지킬 것을 요구하다.
"
"He conjured them not to betray their country.
","그는 그들에게 그들의 나라를 배반하지 말라고 간청했다.
"
"If he had followed my advice,he wouldn't be in such difficulty now.
","만일 그가 나의 충고를 따랐다면 그는 지금 이러한 곤경에 빠지지 않았을 것이다.
"
"Imports will have to be scaled down until exports begin to rise again.
","수출액이 다시 오르기 전에, 수입액이 상당히 감축해야 한다.
"
"The President gave the crowd a wave.
","대통령이 군중에게 손을 흔들었다.
"
"be crushed down with grief
","슬픔에 압도당했다.
"
"I know he's there because I saw him.
","나는 그가 거기에 있는 것을 알고 있다. 왜냐하면 나는 그를 본 적이 있기 때문이다.
"
"His home run decided the game.
","그의 홈런으로 경기가 끝났다.
"
"It is an ill wind that blows nobody good.
","아무리 나쁜 일이라도, 모두 어떤 사람들에게는 유리할 수 있다.
"
"Business hours,10 a.m.- 5 p.m.
","영업시간은 오전 10시부터 오후 5시까지이다.
"
"He reviewed the scene of the crime.
","그는 다시 범죄의 현장을 관찰했다.
"
"His win at the races gave him a windfall of ↔100.
","그는 달리기에서 승리해서 그에게 100파운드의 과욋돈을 가져다 주었다.
"
"I can't find that wretched umbrella!
","나는 그 고장난 우산을 찾을 수 없다.
"
"All the pictures have come out very well.
","모든 사진은 전부 잘 찍혔다.
"
"Father doesn't want to let us go,but I know I can get round him.
","아버지는 우리가 나가는 것을 원하지 않지만, 나는 그를 설득할 수 있다.
"
"His constant complaining jars on my nerves.
","그는 항상 중얼중얼 불평하는데 나는 정말 참을 수 없다.
"
"His speech crowned the party.
","그의 강연이 파티를 원만하게 끝냈다.
"
"I started as soon as your message got through (to me).
","나는 너의 메세지를 받자마자 곧 출발했다.
"
"Owing to the economic crisis,the factory owner is running his factory down.
","경제 위기로, 공장장은 공장에 대해 긴축 조치를 취하고 있다.
"
"Queen Mary was succeeded by Elizabeth.
","Mary여왕 이후에 엘리자베스 1세가 즉위하였다.
"
"After she drank the poison she went into a coma.
","그녀는 독약을 마신 후 혼미해졌다.
"
"I must know your opinion.Do you agree with me?
","나는 너의 의견을 알아야만 한다. 너는 나의 의견에 동의합니까?
"
"deeds are better than words.
","행동은 말보다 낫다.
"
"Like Bernard Shaw,he has tickled his readers' funny bone with a cultural hotfoot.
","그는 Bernard Shaw와 같이, 문화의 각성으로 독자의 흥미를 자극했다.
"
"Such a crime carries a serious punishment.
","이런 죄는 통상 중형에 처해야 한다.
"
"We were marooned by the blizzard.
","우리들은 폭풍우로 고립되었다.
"
"The weatherman reports it'll be sunny tomorrow.
","기상 통보관은 내일은 맑은 날씨일 것이라고 말했다.
"
"He soon forgot his anger and came round.
","그는 곧 노를 가라앉히고, 마음이 평안해졌다.
"
"An economic crisis was hanging over the capitalist world.
","한 바탕의 경제 위기가 자본주의 세계를 위협하고 있다.
"
"The tidings were received with shouts of joy.
","그 소식을 듣고, 모두는 열렬히 환호했다.
"
"There was lots to drink at the party.
","연회에는 마실 수 있는 많은 음료가 있다.
"
"In the summer the town becomes very dusty.
","여름에 도시는 먼지로 가득하다.
"
"A makeshift bed was rigged up for the sick person.
","환자를 위해서 임시로 침대를 하나 놓았다.
"
"The facts admit no other interpretation.
","이런 사실들은 기타 해석이 있는 것을 용납하지 않는다.
"
"mop up the water on the floor
","마루 위의 물을 닦다.
"
"The various parts blend into a harmonious whole.
","다른 부분의 혼합은 화해된 통일체가 된다.
"
"Please let me have a confirmation of this order,and oblige.
","이번 주문의 확인서를 보내주시면 좋겠습니다. 감사합니다.
"
"The young man switched the handbag out of her hand.
","그 젊은이는 갑자기 그녀의 손에서 손가방을 빼앗아갔다.
"
"Our guerrillas choked off the enemy's supplies.
","우리의 유격대는 적의 보급을 차단했다.
"
"I could discern that he was plotting something.
","나는 그가 무슨 일을 획책하고 있다는 것을 알아냈다.
"
"She chafed under her sister's teasing.
","그녀는 여동생의 일로 화를 냈다.
"
"They planned to have started at the beginning of last month.
","그들은 원래 지난 달 초에 업무를 시작하기로 계획했었다.
"
"suspend judgment until the facts are clear.
","사실이 밝혀지기 전에 잠시 판결을 늦추다.
"
"His nervousness seems to have drained away.
","그의 긴장이 이미 서서히 사라지는 것 같다.
"
"I'll race you to the end of the road.
","나는 너와 도로 끝까지 누가 먼저 뛰어가는지 시합을 하려고 한다.
"
"I tried to console her,but in vain.
","나는 그녀를 위로하려 했지만 효과가 없었다.
"
"She tied the two sticks together to form a cross.
","그는 두 개의 짧은 막대기를 묶어서 십자가 모양으로 만들었다.
"
"She is fundamentally unsuited to office work.
","그녀는 근본적으로 사무실의 일이 적합하지 않다.
"
"Don't hold anything back,you must tell me everything.
","어떤 것도 나를 속여서는 안된다. 너는 모든 상황을 나에게 알려주어야 한다.
"
"We called at Li's house yesterday.
","우리는 어제 이가네를 방문했다.
"
"I wish you'd stop mucking about and get down to some serious work.
","나는 네가 더이상 여기저기 어슬렁거리지 말고 마음을 잡고 진지하게 일을 좀 하기를 바란다.
"
"I have pruned away the rugged edges of the bush.
","나는 이미 관목 수풀 주변의 가지런하지 않은 부분을 다듬어버렸다.
"
"The agenda has not yet been drawn up.
","의사 일정이 아직 잡히지 않았다.
"
"The words in a dictionary are shown in alphabetical order.
","사전 안의 단어는 모두 자모순으로 배열된 것이다.
"
"He gave me this bicycle for nothing.
","그는 이 자전거를 나에게 주고 돈을 요구하지 않았다.
"
"Take care not to be impolite to the customers.
","고객에게 무례하지 않도록 주의해라.
"
"The steam from the kettle has clouded up the windows.
","물병에서 나오는 수증기가 창문의 유리를 뿌옇게 만들었다.
"
"I was thinking about what was left of him in the room.
","나는 방에 그가 남긴 물건을 생각하고 있다.
"
"How shall we compromise?
","우리 쌍방이 각각 얼마만큼 양보해야 합니까?
"
"A Party branch committee meeting will be called to block out a plan of action.
","당 지부위원회를 열어서 행동 계획을 제정할 것이다.
"
"Give your seat up to the old lady.
","당신의 자리를 그 노부인에게 양보해 주십시오.
"
"The rise in prices put my calculations badly out.
","물가의 상승은 나의 계산으로 하여금 큰 착오를 나게 했다.
"
"How do you reconcile your political principles with your religious beliefs?
","당신은 어떻게 당신의 정치 원칙과 종교 신앙을 조화했습니까?
"
"He's the richest man in the world.
","그는 세계에서 가장 부유한 사람이다.
"
"We can't do more than a 2% reduction.
","우리는 가격을 2% 내려줄 수 있을 뿐 다시 더는 내려줄 수 없다.
"
"They're all free-take any you like.
","이것들은 모두 공짜니 당신 마음대로 가져가세요.
"
"They have decided to site the new school in this town.
","그들은 이미 새 학교를 이 도시에 건설하기로 결정했다.
"
"I am disposed to agree with you.
","나는 너를 찬성하는 쪽을 편든다.
"
"The child came near being run over.
","이 아이는 차에 눌려 죽을 뻔 했다.
"
"SHIP IMMDLY TEL NME STEAMER DTE SHIPT -ship immediately,telegraph name (of) steamer date (of) shipment
","즉시 선적 운반하시고, 아울러 선박명 및 선적 운반 날짜를 전보 통지해 주십시오.
"
"There are no clouds in the sky.
","하늘에 구름 한 점 없다.
"
"Will it rain today? －－I hope not.
","오늘 비가 올 것 같습니까? 나는 비가 오지 않기를 바랍니다.
"
"We've found 40 cases of strawberries were seriously damaged.
","우리는 40상자의 딸기가 이미 전부 손상되었다는 것을 알았다.
"
"Bye now!
","좋아, 안녕!
"
"The rule covers all cases.
","이 규칙은 모든 상황에 적용된다.
"
"sponge up the spilled milk with a mop
","대걸레로 쏟아진 우유를 깨끗이 빨아들인다.
"
"He's just talking for the sake of hearing his own voice.
","그가 말하는 목적은 다만 자신의 목소리를 듣기 위한 것이다.
"
"I shan't be dining in college tonight.Would you mind signing me out?
","오늘 저녁에 나는 학교에서 밥을 먹지 않을 것이다. 당신이 내가 학교를 나갈 수 있도록 사인해 주시겠습니까?
"
"Salk vaccine is a "" killed "" vaccine,.
","소크 왁찐은 전염이 되지 않는 왁찐이다.
"
"Thank you for the present.
","당신이 우리에게 선물을 주셔서 고맙습니다.
"
"If I were to do it,I would do it in a different way.
","내가 이 일을 한다면, 나는 다른 방법이었을 것이다.
"
"these books are all mine.
","이 책들은 모두 나의 것이다.
"
"He says whatever is uppermost in his mind.
","그는 그의 마음에 가장 걱정하고 있는 일을 말했다.
"
"The guard will be relieved at midnight.
","위병은 한밤중에 교대하게 될 것이다.
"
"Rain clouds are banking up.Hope they'll blow over.
","비구름이 모여들고 있다. 그것들이 흩어지기를 바란다.
"
"He was educated at a very good school.
","그는 아주 좋은 학교에서 교육을 받은 적이 있다.
"
"The engine was labouring.
","엔진이 어렵게 돌아가고 있다.
"
"The materials have been ground up into a fine powder.
","원료는 이미 분말로 빻아졌다.
"
"It is neither cold nor hot.
","날씨가 춥지도 덥지도 않다.
"
"A hawk was hovering over its prey.
","한 마리의 매가 사냥물의 상공을 맴돌고있다.
"
"I feel dubious of its accuracy.
","나는 그것의 정확성에 대해 의혹을 느낀다.
"
"These are my pencils.
","이것들은 나의 연필이다.
"
"Have you ever thought about a career in the medical profession?
","당신은 일찌기 의무라는 이 직업에 종사할 생각이었습니까?
"
"Sit on either side.
","아무쪽에 앉아라.
"
"He does well,only that he's nervous at the start.
","그는 아주 잘하는데, 다만 시작할 때 너무 긴장을 한다.
"
"The antithesis of death is life.
","죽음과 반대되는 것은 삶이다.
"
"Give the beggar a coin; you won't miss it.
","그 거지에게 동전 한 잎을 줘라. 너는 대수롭지 않은 것이다.
"
"His spirits sagged when he was told he had to start the work again.
","그는 반드시 이 일을 다시 해야 한다고 말해지자 그는 의기소침해졌다.
"
"The value of sterling has risen.
","파운드의 가치가 평가절상하였다.
"
"She felt uneasy at the thought of having to go without her husband.
","남편이 데리고 동행하지 않는다는 것을 생각하니, 그녀는 불안함을 느꼈다.
"
"There's been no fresh news of the fighting since yesterday.
","어제 이후부터 줄곧 전투에 관한 새 소식은 없다.
"
"My plans were thwarted by the weather.
","운수사납게도 하느님이 도와주지 않아서 나의 계획은 물거품이 되었다.
"
"If anything fell out amiss ,they would reconsider it.
","만약 무슨 타탕하지 않은 것이 있으면, 그들은 다시 이 일을 고려할 것이다.
"
"I wish I could put in two hours ' extra work this morning.
","나는 오늘 아침에 두 시간 더 일할 수 있기를 바란다.
"
"He deliberated whether to buy a new car.
","그는 새 자동차를 사야 할지를 신중히 고려했다.
"
"I am turly grateful to you.
","나는 정말 네게 감격하고 있다.
"
"He broke into the shop and stole ↔100.
","그는 상점에 침입해서 100파운드를 훔쳐갔다.
"
"I prefer beer above all other drinks.
","나는 다른 음료수보다 맥주를 더 좋아한다.
"
"The little girl wore a frilly party dress.
","그 작은 소녀는 주름장식이 달린 파티복을 입고 있다.
"
"The lost child was wandering about the streets.
","길을 잃은 아이가 길에서 여기저기 어정거리며 돌아다니고 있다.
"
"Nobody told him to leave.Send after him and bring him back.
","그를 가라고 한 사람은 아무도 없다. 사람을 보내서 그를 데리고 돌아오게 해라.
"
"He lost all that was dear to him.
","그는 그에게 중요한 모든 것을 잃었다.
"
"They lived in Westbury Court.
","그들은 웨스트베리가에서 산다.
"
"Whereabouts did I leave my bag?
","내가 나의 가방을 어디다 두었지?
"
"It is only how fast an object moves that its speed indicates.
","물체의 속도가 표시하는 것은 단지 물체 운동의 빠르기다.
"
"Our government has declared war on Ruritania.
","우리 나라 정부는 이미 Ruritania에 선전 포고했다.
"
"The pigs are well fattened up.
","돼지가 아주 피둥피둥 살이 쪘다.
"
"He had no option but to agree.
","그는 동의하는 것을 제외하고는 다른 선택의 여지가 없다.
"
"I can't think what his name is.
","나는 그의 이름이 무엇인지 생각이 나지 않는다.
"
"He is a writer rather than a scholar.
","그가 학자라고 말하기 보다는 차라리 그는 작가라고 말하는 편이 낫다.
"
"The patient lay bolstered up in bed.
","환자는 베개로 상반신을 높게 하고 침대에 누워 있다.
"
"I hope you aren't feeling any worse.
","나는 네가 불편함을 느끼지 않았으면 희망한다.
"
"She put her hat and coat on.
","그녀는 모자를 쓰고 외투를 입었다.
"
"He spent the day pondering the steps to be taken.
","그는 하루종일 사고의 방향에서 순서를 취해야만 한다.
"
"The bird is picking at the grains left in the cornfield.
","새가 밭에 남은 곡식 알갱이를 쪼아먹고 있다.
"
"He cleared out his desk before he was moved to another class.
","그는 다른 반으로 옮겨 가기 전에 자기의 책상을 깨끗하게 하였다.
"
"He broke in and stole my money.
","그는 문을 부수고 들어와서 나의 돈을 훔쳤다.
"
"Could he be waiting for us at the station.
","그가 정거장에서 우리를 기다릴 수 있습니까?
"
"Most modern automobiles are rear-driven ..
","대다수 신형 자동차는 동력을 모두 뒤차축 위의 것을 쓴다.
"
"melt the nation's resources away
","국가의 자원이 점차 고갈되어 가다.
"
"I returned to Shanghai last week.
","나는 지난 주에 상해로 돌아왔다.
"
"There's not a vestige of truth in his statement.
","그의 진술은 진실성이 조금도 없다.
"
"I played him a game of chess.
","나와 그는 체스 한 판을 두었다.
"
"His account of the matter jibes with what I have seen.
","그의 사건에 대한 묘사는 내가 본 것과 같다.
"
"He tried to realize these events on screen .
","그는 이 사건을 진짜처럼 무대에 올리려고 하였다.
"
"When I went downstairs,they were eating breakfast.
","나는 아랫층에 내려갈 때 그들은 아침을 먹고 있었다.
"
"The first blow is half the battle.
","먼저 손쓰는 자가 유리하다.
"
"The temperature has gone up two points.
","온도가 이미 2도 올랐다.
"
"The gardener raked over the bed and removed the weeds.
","원예사는 묘포를 뒤집어 갈아서 잡초를 제거했다.
"
"Juvenile crimes are showing a tendency to increase.
","소년범죄가 증가하는 추세이다.
"
"He rationed out the water to the sailors.
","그는 정량대로 선원들에게 물을 주었다.
"
"Finding you has not made any difference,has it?
","너를 찾아도 결코 달라질 게 없어, 그렇지?
"
"Thanks from me and my dad.
","제발 나와 부친의 사의를 받아주세요.
"
"He looks angry.
","그는 화가 난 것 같아 보인다.
"
"I came by taxi.
","나는 택시를 타고 왔다.
"
"avoid crossing this street at rush hours.
","교통혼잡시간을 피하여 기 가도를 지났다.
"
"I sold him the car almost new.
","이 차는 내가 그에게 팔 때는 거의 새 것이었다.
"
"The weather is good everywhere today,except here.
","여기만 빼놓고 오늘 각지의 날씨는 모두 좋다.
"
"He rented the house to us at 100 a month.
","그는 그 집을 매 월 100파운의 집세로 우리에게 세주었다.
"
"His words were just idle threats; he can't harm us.
","그의 말은 단지 사람을 놀라게 하는 공허한 말일 뿐, 우리를 해칠 수는 없다.
"
"She feels boxed in living in that small flat.
","그는 그 작은 집에서 사느라 좁아 답답함을 느꼈다.
"
"We expect to finish the delivery of your order in about three months.
","우리는 이 주문이 3개월 내에 모두 인도될 수 있으리라고 예상한다.
"
"I learned from Richard's letter that you are ill in bed.I hope you will get well soon.
","리차드의 편지에서 네가 아파 누워 있다는 것을 알았다. 나는 네가 빨리 회복되길 바란다.
"
"Darkness fell,and the houses standing far and near began to give out dim light through the windows.
","어둠이 내리자, 원근의 집들이 창문을 통해서 흐린 불빛을 내보내기 시작했다.
"
"I inched my way through the narrow space between the cars.
","나는 많은 자동차 사이의 좁은 틈새에서 천천히 앞으로 나아갔다.
"
"She refused my advice and flounced out of the house.
","그녀는 나의 권고를 받아들이는 것을 거절하고는, 발을 구르고 노발대발하며 집을 떠나갔다.
"
"When did they send out their final shipment?
","그들은 마지막 화물을 언제 보냈습니까?
"
"There's an important point I want to raise.
","나는 중요한 점을 제기하고 싶다.
"
"Nothing will change him,he will always be the same.
","어떤 것도 그를 변화시킬 수 없다. 그는 시종 그런 모습이다.
"
"Her leg was so badly damaged that the doctors had to amputate .
","그녀의 그 다리는 너무 심하게 다쳐서, 의사는 그것을 절단해야 했다.
"
"It was a six-hour flight.
","이번은 6시간의 비행이다.
"
"Timing an echo of radio waves is the principle on which radar operates.
","라디오 전파의 울림 타이밍은 레이더 운행이 근거로 하는 원리이다.
"
"She finds it difficult to live on her grant.
","그녀는 장학금으로 생활이 어렵다는 것을 알았다.
"
"He was bidding for popular support.
","그는 대책을 강구하는데 대중의 지지를 쟁취했다.
"
"She can't remember further back than 1970.
","1970년보다 더 오래된 일은 그녀는 이미 기억할 수 없었다.
"
"His advice was unasked for.
","그의 충고는 자발적인 것이었다.
"
"All hail!
","환영합니다!
"
"""Moustache"" is a variant spelling of ""mustache."" moustache.
","""Moustache""의 다른 철자법은 ""mustache"" 이다.
"
"Which candidate did he come out for,Richards or Smith?
","그는 리차드 혹은 스미스 어느 후보를 지지합니까?
"
"She is breaking in a new pair of shoes.
","그녀는 새 신을 신어 보아서 점점 발에 맞도록 길들이고 있다.
"
"He's always producing grandiose plans that never work.
","그는 항상 끊임없이 과장되어 실현할 수 없는 계획을 세웠다.
"
"I was so sure then that my life would be perfect in five or six years.
","그때, 나는 생활이 5,6년 후에는 매우 좋아질 것이라고 믿었다.
"
"try to shout down the opposition
","고함소리가 반대파를 압도하려고 한다.
"
"A noisy interruption from the back of the hall drew the speaker up sharp.
","홀 뒤에서 누군가 큰소리로 끼어들어 강사가 갑자기 멈추었다.
"
"The actors were rehearsing a play in the theatre.
","배우들은 극장에서 연극하고 있었다.
"
"They have just checked in at the hotel.
","그들은 방금 호텔에 도달해서 체크인 수속을 마쳤다.
"
"If we all go in one car,we'll save on petrol.
","우리 모두가 한 대의 차에 몰려 있다면 기름을 절약할 수 있을 것이다.
"
"I may meet you again if I am spared.
","만약 내가 목숨이 길다면 아마 나는 당신을 다시 볼 것이다.
"
"I like the house but I think the price is on the high side.
","나는 이 집을 좋아하지만, 나는 가격이 너무 높다고 생각한다.
"
"He led a life of poverty for many years.
","그는 오랜 동안의 빈곤한 생활을 보냈다.
"
"I'll bet that this is true.
","이것이 사실이라는 것을 나는 너와 내기할 수 있다.
"
"They have to work hard to feed and clothe their family.
","나는 가족의 생계를 위하여 열심히 일하지 않으면 안 된다.
"
"I promise to return your bicycle in good condition.
","나는 너의 자전거를 조금도 손상시키지 않고 너에게 돌려줄 것을 약속한다.
"
"Hard work will be the making of him.
","힘든 노동은 그의 성공적인 요소일것이다.
"
"The airliner from Tokyo flew in a few minutes ago.
","동경발의 여객기는 몇 분 전 착륙했다.
"
"This coat withstands hard wear.
","이 외투는 질기다.
"
"A hermetic seal is used at the top of this glass bottle.
","이 유리병의 주둥이는 밀봉 딱지로 봉해져 있다.
"
"Young children are amoral.
","어린아이들은 좋고 나쁨을 잘 모른다.
"
"Virginia leaf.
","버지니아 담배잎.
"
"You were mistaken in assuming it.
","네가 이 가정을 한 것은 잘못이다.
"
"We sailed from Sweden with a cargo of paper.
","우리들은 종이를 가득 싣고 스웨덴에서 출발했다.
"
"This period of history falls into two phases.
","이 기간의 역사는 두 단계로 나누어진다.
"
"He didn't come because he couldn't get away from his work.
","그는 일을 떠날 수 없어서 아직 오지 않았다. 
"
"This is a time of decision.
","지금이 결정할 때이다.
"
"He needed all his charm to persuade her he was right.
","그는 온몸으로 설명해 그의 말을 그녀가 믿게 하였다.
"
"The police allege that the man was murdered but they have given no proof.
","경찰측은 이 남자가 살해된 것이라고 공언했지만 어떠한 증거도 제시하지 못했다.
"
"These two words are equivalent in meaning.
","이 두 글자는 의미가 같다.
"
"Strings vibrate when plucked .
","현은 당길 때에 진동한다.
"
"Our best reporter covered the trial.
","우리의 가장 뛰어난 기자가 재판하는 상황을 취재했다.
"
"They created a new city in the desert.
","그들은 사막에 신도시를 세웠다.
"
"He had two appointments with me,but let me down on both occasions.
","그는 나와 두 번 약속을 했었는데, 그는 두 번 다 약속을 지키지 않았다.
"
"The aggressor troops were then being pulled out of the area.
","침략군은 당시에 그 지역을 철수하고 있었다.
"
"We may be able to help you out in some way.
","우리는 어떤 방면에서든지 아마도 너를 도울 수 있을 것이다.
"
"We bought some new chairs for the office.
","우리는 사무실에 새 의자 몇 개를 샀다.
"
"Guns whomped in the distance.
","먼 곳에서 포성이 우르릉 울린다.
"
"Is the port of loading Shanghai?
","선적항은 상해항입니까?
"
"Dip your injured finger in the disinfectant to soak out the poison.
","다친 너의 손가락을 소독약에 담가 독을 녹여 내라.
"
"Let's have a coffee.
","우리 커피 마십시다.
"
"They focused their attention on the main problems.
","그들은 주의력을 주요 문제에 집중했다.
"
"We spent a very restless night.
","우리는 매우 불안한 밤을 보냈다.
"
"Don't stand there fiddling about;go on with your job.
","거기서 서서 쓸데없는 짓 하지 말고 계속해서 너의 일을 해라.
"
"May I break in to say that everything is ready?
","내가 말참견을 좀 해도 되겠습니까? 모든 것이 준비되었습니다.
"
"he set forward several practical proposals.
","그는 몇 개의 적절하고 실행할 수 있는 건의를 제기했다.
"
"You may rest assured that we shall effect shipment with the least possible delay upon receipt of the credit.
","너희측은 안심해도 된다. 우리가 신용장을 받는 즉시 화물을 선적할 것이다.
"
"He has long since arrived.
","그는 오래 전에 도착했다.
"
"We rest our hope on you alone.
","우리는 희망을 너 자신에게 걸고 있다.
"
"The quality of reproduction isn't very good on this recording.
","이 녹음 테이프의 복사 질량이 매우 좋은 것은 아니다.
"
"I meant no hurt to his feelings.
","나는 그의 감정을 상하게 할 뜻은 없었다.
"
"She always remembers me with a Christmas card.
","그녀는 늘 나에게 성탄카드를 보낸다.
"
"The haze has burnt away.
","연무가 사라졌다.
"
"Why do all the bills seem to come together?
","각종 비용 고지서는 왜 이렇게 한데 모았냐?
"
"A sum of 20,000 was budgeted for to build that dam.
","그 수문을 건조하기 위해서 2만 원이나 되는 금액을 예산에 넣었다.
"
"We redoubled our efforts .
","우리는 배로 노력한다.
"
"shake out a sail
","돛을 올리다.
"
"They endeavored without success to right the sailboat.
","그들은 기울어진 범선을 제대로 세우려 노력했으나 성공하지 못했다.
"
"They were very busy and had to hold up on all plans to travel.
","그들은 매우 바빠서, 모든 여행계획을 다 연기하지 않을 수 없었다.
"
"There is not a vestige of truth in what he says.
","그가 말한 것은 한 마디도 진실이 없다.
"
"We refuse to knock under to any difficulty.
","우리는 어떠한 어려움에 대해서도 굴복하지 않는다.
"
"The village was dead after sunset.
","일출 후에 그 마을은 정막으로 고요하였다.
"
"The workers made a list of their complaints.
","근로자들은 군인정부를 세우는 것에 반대하는 공로를 세웠다.
"
"Jimmy doesn't know colors yet; he mixes up purple with blue.
","Jimmy는 아직 색깔을 구별하지 못해서 보라색과 파란색을 혼돈한다.
"
"The house is too small,and furthermore,it's too far from the town.
","이 집은 너무 작을 뿐만 아니라, 시내에서도 너무 멀리 떨어져있다.
"
"I'm not decent.
","나는 아직 옷을 다 입지 못했다.
"
"Alloys will not have the same properties as pure metal.
","합금은 수수한 금속이 가지고 있는 것과 같은 성능을 갖지 못한다.
"
"His words gave me courage to go on with my studies.
","그의 말이 나에게 계속 공부할 수 있도록 용기를 주었다.
"
"The chemical dissolves into its constituent parts when heated.
","그 화학 약물은 가열할 때 그 조성된 분자가 분해될 수 있다.
"
"He is unpopular with his fellow workers.
","그는 동료들 사이에서 명성이 좋지 않다.
"
"Before buying a book,I look at the contents page.
","나는 책을 사기 전에 먼저 목록을 한 번 보았다.
"
"I knocked into him on the street.
","나는 거리에서 우연히 그를 만났다.
"
"We are incredulous about ghosts.
","우리는 좀처럼 귀신이 있다는 것을 믿지 않는다.
"
"I can't fathom your meaning.
","나는 너의 뜻을 헤아릴 수 없다.
"
"I cannot suffer such insults.
","나는 이러한 모욕을 참을 수가 없다.
"
